005              "005"
acombat4          "Astro Combat"
acombato          "Astro Combat"
acommand          "Alien Command"
acrobatm          "Acrobat Mission"
act2000           "Action 2000"
act2000b1         "Action 2000"
act2000bx         "Action 2000"
act2000d1         "Action 2000"
act2000dx         "Action 2000"
act2000o          "Action 2000"
act2000o2         "Action 2000"
act2000o3         "Action 2000"
act2000v1         "Action 2000"
act2000vx         "Action 2000"
actfancr          "Act-Fancer Cybernetick Hyper Weapon"
actfancr1         "Act-Fancer Cybernetick Hyper Weapon"
actfancr2         "Act-Fancer Cybernetick Hyper Weapon"
actfancrj         "Act-Fancer Cybernetick Hyper Weapon"
actionhw          "Action Hollywood"
ad2083            "A. D. 2083"
ad4ctl            "Cop The Lot Club"
ad4ctla           "Cop The Lot Club"
ad4film           "Film Premiere"
ad4filma          "Film Premiere"
ad4skill          "Skill Dice"
ad5bpfpm          "Bullseye Pounds For Points"
ad5bpfpma         "Bullseye Pounds For Points"
ad5bpfpmb         "Bullseye Pounds For Points"
ad5bpfpmc         "Bullseye Pounds For Points"
ad5bpfpmd         "Bullseye Pounds For Points"
ad5btc            "Bullseye Triple Club"
ad5btca           "Bullseye Triple Club"
ad5btcb           "Bullseye Triple Club"
ad5cmons          "Crazy Money"
ad5cmonsa         "Crazy Money"
ad5copsr          "Cops 'n' Robbers"
ad5copsr0         "Cops 'n' Robbers"
ad5copsr1         "Cops 'n' Robbers"
ad5copsr2         "Cops 'n' Robbers"
ad5copsr3         "Cops 'n' Robbers"
ad5copsr4         "Cops 'n' Robbers"
ad5copsr5         "Cops 'n' Robbers"
ad5copsr6         "Cops 'n' Robbers"
ad5copsr7         "Cops 'n' Robbers"
ad5copsra         "Cops 'n' Robbers"
ad5copsrb         "Cops 'n' Robbers"
ad5copsrc         "Cops 'n' Robbers"
ad5copsrd         "Cops 'n' Robbers"
ad5copsre         "Cops 'n' Robbers"
ad5copsrf         "Cops 'n' Robbers"
ad5copsrg         "Cops 'n' Robbers"
ad5copsrh         "Cops 'n' Robbers"
ad5copsri         "Cops 'n' Robbers"
ad5copsrj         "Cops 'n' Robbers"
ad5copsrk         "Cops 'n' Robbers"
ad5copsrl         "Cops 'n' Robbers"
ad5copsrm         "Cops 'n' Robbers"
ad5copsrn         "Cops 'n' Robbers"
ad5copsro         "Cops 'n' Robbers"
ad5copsrp         "Cops 'n' Robbers"
ad5copsrq         "Cops 'n' Robbers"
ad5copsrr         "Cops 'n' Robbers"
ad5copsrs         "Cops 'n' Robbers"
ad5copsrt         "Cops 'n' Robbers"
ad5copsru         "Cops 'n' Robbers"
ad5copsrv         "Cops 'n' Robbers"
ad5copsrw         "Cops 'n' Robbers"
ad5copsrx         "Cops 'n' Robbers"
ad5copsry         "Cops 'n' Robbers"
ad5copsrz         "Cops 'n' Robbers"
ad5crcpt          "Cops 'n' Robbers Community Party"
ad5crcpta         "Cops 'n' Robbers Community Party"
ad5crsc           "Cops 'n' Robbers"
ad5crsca          "Cops 'n' Robbers"
ad5crscb          "Cops 'n' Robbers"
ad5crscc          "Cops 'n' Robbers"
ad5crscd          "Cops 'n' Robbers"
ad5crsce          "Cops 'n' Robbers"
ad5crscf          "Cops 'n' Robbers"
ad5crscg          "Cops 'n' Robbers"
ad5crsch          "Cops 'n' Robbers"
ad5dnd            "Deal Or No Deal"
ad5dnda           "Deal Or No Deal"
ad5dndb           "Deal Or No Deal"
ad5dndc           "Deal Or No Deal"
ad5dndcl          "Deal Or No Deal Club"
ad5dndcla         "Deal Or No Deal Club"
ad5dndclb         "Deal Or No Deal Club"
ad5dndclc         "Deal Or No Deal Club"
ad5dndcld         "Deal Or No Deal Club"
ad5dndcle         "Deal Or No Deal Club"
ad5dndclf         "Deal Or No Deal Club"
ad5dndclg         "Deal Or No Deal Club"
ad5dndd           "Deal Or No Deal"
ad5dnddd          "Deal Or No Deal Double Deal Or No Deal"
ad5dnddda         "Deal Or No Deal Double Deal Or No Deal"
ad5dnde           "Deal Or No Deal"
ad5dndf           "Deal Or No Deal"
ad5dndg           "Deal Or No Deal"
ad5dndh           "Deal Or No Deal"
ad5dndi           "Deal Or No Deal"
ad5dndj           "Deal Or No Deal"
ad5dndk           "Deal Or No Deal"
ad5dndl           "Deal Or No Deal"
ad5dndm           "Deal Or No Deal"
ad5dndn           "Deal Or No Deal"
ad5dndo           "Deal Or No Deal"
ad5dndp           "Deal Or No Deal"
ad5dndpg          "Deal Or No Deal The Perfect Game"
ad5dndpga         "Deal Or No Deal The Perfect Game"
ad5dndpgb         "Deal Or No Deal The Perfect Game"
ad5dndpgc         "Deal Or No Deal The Perfect Game"
ad5dndpl          "Deal Or No Deal Platinum"
ad5dndpla         "Deal Or No Deal Platinum"
ad5dndplb         "Deal Or No Deal Platinum"
ad5dndplc         "Deal Or No Deal Platinum"
ad5dndq           "Deal Or No Deal"
ad5dndr           "Deal Or No Deal"
ad5dndu           "Deal Or No Deal"
ad5dndv           "Deal Or No Deal"
ad5etdls          "El Trebol de la Suerte"
ad5eyes           "Eyes Down"
ad5eyesa          "Eyes Down"
ad5eyesb          "Eyes Down"
ad5eyesc          "Eyes Down"
ad5eyesd          "Eyes Down"
ad5eyese          "Eyes Down"
ad5eyesf          "Eyes Down"
ad5eyesg          "Eyes Down"
ad5gldmn          "Gold Mine"
ad5gldmna         "Gold Mine"
ad5gldmnb         "Gold Mine"
ad5gldmnc         "Gold Mine"
ad5gldmnd         "Gold Mine"
ad5gldmne         "Gold Mine"
ad5gldmnf         "Gold Mine"
ad5gldmng         "Gold Mine"
ad5gldmnh         "Gold Mine"
ad5gldmni         "Gold Mine"
ad5gldmnj         "Gold Mine"
ad5gldmnk         "Gold Mine"
ad5gldwn          "Golden Winner"
ad5gldwna         "Golden Winner"
ad5hir            "Hi Roller"
ad5hira           "Hi Roller"
ad5hirb           "Hi Roller"
ad5hirc           "Hi Roller"
ad5hircl          "Hi Roller Club"
ad5hircla         "Hi Roller Club"
ad5hirclb         "Hi Roller Club"
ad5jckmo          "Jackpot Monopoly"
ad5jckmoa         "Jackpot Monopoly"
ad5jckmob         "Jackpot Monopoly"
ad5jckmoc         "Jackpot Monopoly"
ad5jckmod         "Jackpot Monopoly"
ad5jckmoe         "Jackpot Monopoly"
ad5lluck          "Lady Luck"
ad5mcob           "Monte Carlo Or Bust"
ad5mcoba          "Monte Carlo Or Bust"
ad5mcobb          "Monte Carlo Or Bust"
ad5mcobc          "Monte Carlo Or Bust"
ad5monop          "Random Monopoly"
ad5monopa         "Random Monopoly"
ad5monopb         "Random Monopoly"
ad5monopc         "Random Monopoly"
ad5monopd         "Random Monopoly"
ad5monope         "Random Monopoly"
ad5monopf         "Random Monopoly"
ad5monopg         "Random Monopoly"
ad5monoph         "Random Monopoly"
ad5monopi         "Random Monopoly"
ad5monopj         "Random Monopoly"
ad5monopk         "Random Monopoly"
ad5mowow          "Monopoly Wheel Of Wealth"
ad5mowowa         "Monopoly Wheel Of Wealth"
ad5mowowb         "Monopoly Wheel Of Wealth"
ad5mowowc         "Monopoly Wheel Of Wealth"
ad5mowowd         "Monopoly Wheel Of Wealth"
ad5mowowe         "Monopoly Wheel Of Wealth"
ad5mowowf         "Monopoly Wheel Of Wealth"
ad5mowowg         "Monopoly Wheel Of Wealth"
ad5mowowh         "Monopoly Wheel Of Wealth"
ad5mowowi         "Monopoly Wheel Of Wealth"
ad5mowowj         "Monopoly Wheel Of Wealth"
ad5mowowk         "Monopoly Wheel Of Wealth"
ad5mowowl         "Monopoly Wheel Of Wealth"
ad5mowowm         "Monopoly Wheel Of Wealth"
ad5mr2r           "Monopoly Road To Riches"
ad5mr2ra          "Monopoly Road To Riches"
ad5mr2rb          "Monopoly Road To Riches"
ad5mr2rc          "Monopoly Road To Riches"
ad5mr2rd          "Monopoly Road To Riches"
ad5mr2re          "Monopoly Road To Riches"
ad5mr2rf          "Monopoly Road To Riches"
ad5mr2rg          "Monopoly Road To Riches"
ad5mr2rh          "Monopoly Road To Riches"
ad5mww            "Random Monopoly Wonders Of The World"
ad5mwwa           "Random Monopoly Wonders Of The World"
ad5pking          "Poker King"
ad5pkinga         "Poker King"
ad5pp             "Pink Panther"
ad5ppa            "Pink Panther"
ad5ppb            "Pink Panther"
ad5ppbtb          "Pink Panther Break The Bank"
ad5ppbtba         "Pink Panther Break The Bank"
ad5ppbtbb         "Pink Panther Break The Bank"
ad5ppbtbc         "Pink Panther Break The Bank"
ad5ppc            "Pink Panther"
ad5ppd            "Pink Panther"
ad5ppe            "Pink Panther"
ad5ppf            "Pink Panther"
ad5ppg            "Pink Panther"
ad5pph            "Pink Panther"
ad5ppi            "Pink Panther"
ad5ppj            "Pink Panther"
ad5rapid          "Rapid Pay"
ad5rapida         "Rapid Pay"
ad5rcash          "Reel Cash"
ad5rcasha         "Reel Cash"
ad5rroul          "Reel Roulette"
ad5rroula         "Reel Roulette"
ad5rroulb         "Reel Roulette"
ad5rroulc         "Reel Roulette"
ad5rsclb          "Random Spinner Club"
ad5rsclba         "Random Spinner Club"
ad5rsclbb         "Random Spinner Club"
ad5rsclbc         "Random Spinner Club"
ad5rsclbd         "Random Spinner Club"
ad5rsclbe         "Random Spinner Club"
ad5rsclbf         "Random Spinner Club"
ad5rsclbg         "Random Spinner Club"
ad5rsclbh         "Random Spinner Club"
ad5rsclbi         "Random Spinner Club"
ad5rsclbj         "Random Spinner Club"
ad5rsnw           "Random Spin 'n' Win"
ad5rsnwa          "Random Spin 'n' Win"
ad5rsnwb          "Random Spin 'n' Win"
ad5rsnwc          "Random Spin 'n' Win"
ad5rspin          "Random Spinner"
ad5rspinb         "Random Spinner"
ad5rspinc         "Random Spinner"
ad5rsrm           "Ronnie O'Sullivan's Rocket Money"
ad5rsrma          "Ronnie O'Sullivan's Rocket Money"
ad5rsrr           "Ronnie O'Sullivan's Rocket Money"
ad5rsrra          "Ronnie O'Sullivan's Rocket Money"
ad5rwclb          "Random Winner Club"
ad5rwclba         "Random Winner Club"
ad5rwclbb         "Random Winner Club"
ad5rwclbc         "Random Winner Club"
ad5rwclbd         "Random Winner Club"
ad5rwclbe         "Random Winner Club"
ad5sslam          "Super Slam"
ad5sslama         "Super Slam"
ad5sslamb         "Super Slam"
ad5sslamc         "Super Slam"
ad5sslamd         "Super Slam"
ad5sslame         "Super Slam"
ad5sslamf         "Super Slam"
ad5tornc          "Tornado Club"
ad5tornca         "Tornado Club"
ad5torncb         "Tornado Club"
ad5torncc         "Tornado Club"
ad5torncd         "Tornado Club"
ad5tornce         "Tornado Club"
ad5vlv            "Viva Las Vegas"
ad5vlvb           "Viva Las Vegas"
ad5vlvc           "Viva Las Vegas"
ad5vlvd           "Viva Las Vegas"
ad5vlve           "Viva Las Vegas"
ad5vlvf           "Viva Las Vegas"
ad5vpa            "Video Poker Ace"
ad5vpaa           "Video Poker Ace"
ad5vpab           "Video Poker Ace"
ad5vpac           "Video Poker Ace"
adillor           "Armadillo Racing"
adillorj          "Armadillo Racing"
adonis            "Adonis"
adonisa           "Adonis"
adonisa6          "Adonis"
adonisce          "Adonis - Cash Express"
adonisu           "Adonis"
adpoker           "Amstar Draw Poker"
adults            "Adults Only"
adultsa           "Adults Only"
aduskcm           "African Dusk - Mr. Cashman"
aerfboo2          "Aero Fighters"
aerfboot          "Aero Fighters"
aeroboto          "Aeroboto"
aerofgt           "Aero Fighters"
aerofgtb          "Aero Fighters"
aerofgtc          "Aero Fighters"
aerofgts          "Aero Fighters Special"
aerolitos         "Aerolitos"
afighter          "Action Fighter"
afightera         "Action Fighter"
afighterb         "Action Fighter"
afighterc         "Action Fighter"
afighterd         "Action Fighter"
afightere         "Action Fighter"
afighterf         "Action Fighter"
afighterg         "Action Fighter"
afighterh         "Action Fighter"
afire             "Astro Fire"
afm_10            "Attack From Mars"
afm_11            "Attack From Mars"
afm_113           "Attack From Mars"
afm_113b          "Attack From Mars"
afm_11u           "Attack From Mars"
afterhrs          "After Hours"
aftor             "Af-Tor"
aftrshok          "Aftershock"
aftrshoka         "Aftershock"
afv_l4            "Addams Family Values"
agallet           "Air Gallet"
agalleta          "Air Gallet"
agalletah         "Air Gallet"
agalletaj         "Akuu Gallet"
agalletak         "Air Gallet"
agalletat         "Air Gallet"
agalletau         "Air Gallet"
agalleth          "Air Gallet"
agalletj          "Akuu Gallet"
agalletk          "Air Gallet"
agallett          "Air Gallet"
agalletu          "Air Gallet"
age_cand          "Candy Crane"
agent777          "Agents 777"
agentx1           "Agent X"
agentx2           "Agent X"
agentx3           "Agent X"
agentx4           "Agent X"
agress            "Agress - Missile Daisenryaku"
agressb           "Agress - Missile Daisenryaku"
agsoccer          "A.G. Soccer Ball"
agsoccer07        "A.G. Soccer Ball"
agsoccera         "A.G. Soccer Ball"
aimode            "Ai-mode - Pet Shiiku"
ainferno          "Air Inferno"
ainfernoj         "Air Inferno"
ainfernou         "Air Inferno"
airass            "Air Assault"
airattck          "Air Attack"
airattcka         "Air Attack"
airbustr          "Air Buster: Trouble Specialty Raid Unit"
airbustrb         "Air Buster: Trouble Specialty Raid Unit"
airbustrj         "Air Buster: Trouble Specialty Raid Unit"
airco22b          "Air Combat 22"
aircomb           "Air Combat"
aircombj          "Air Combat"
airduel           "Air Duel"
airdueljm72       "Air Duel"
airduelm72        "Air Duel"
airduelu          "Air Duel"
airlbios          "Naomi Airline Pilots Bios"
airrace           "Air Race"
airraid           "Air Raid"
airtrix           "Air Trix"
airtrixo          "Air Trix"
airwlkrs          "Air Walkers"
airwolf           "Airwolf"
airwolfa          "Airwolf"
ajax              "Ajax"
ajaxj             "Ajax"
ajofrin           "Ajofrin City"
akamaru           "Panel & Variety Akamaru Q Joushou Dont-R"
akatana           "Akai Katana"
aking             "Angler King"
akiss             "Mahjong Angel Kiss"
akkaarrh          "Akka Arrh"
akkanvdr          "Akkanbeder"
akumajou          "Akuma-Jou Dracula"
akumajoun         "Akuma-Jou Dracula"
aladmdb           "Aladdin"
albatross         "Albatross"
alcapone          "Al Capone"
alcat_l7          "Alley Cats"
alchemst          "Alchemist"
alchemy           "Alchemy"
alcon             "Alcon"
aleck64           "Aleck64 PIF BIOS"
alexkidd          "Alex Kidd: The Lost Stars"
alexkidd1         "Alex Kidd: The Lost Stars"
alg3do            "ALG 3DO Bios"
alg_bios          "American Laser Games BIOS"
algar_l1          "Algar"
ali               "Ali"
alibaba           "Ali Baba and 40 Thieves"
alibabab          "Mustafa and 40 Thieves"
alien             "Alien: The Arcade Medal Edition"
alien3            "Alien3: The Gun"
alien3j           "Alien3: The Gun"
alien3u           "Alien3: The Gun"
alienar           "Alien Arena"
alienaru          "Alien Arena"
aliencha          "Alien Challenge"
alienchac         "Alien Challenge"
aliencr           "Alien Crush"
alienfnt          "Alien Front"
alienfnta         "Alien Front"
alieninv          "Alien Invasion"
alieninvp2        "Alien Invasion Part II"
aliens            "Aliens"
aliens2           "Aliens"
aliens3           "Aliens"
aliens4           "Aliens"
aliensa           "Aliens"
aliensec          "Alien Sector"
aliensj           "Aliens"
aliensj2          "Aliens"
alienstr          "Alien Star"
aliensu           "Aliens"
aliensyn          "Alien Syndrome"
aliensyn2         "Alien Syndrome"
aliensyn3         "Alien Syndrome"
aliensyn5         "Alien Syndrome"
aliensyn7         "Alien Syndrome"
aliensynj         "Alien Syndrome"
aliensynjo        "Alien Syndrome"
aligator          "Alligator Hunt"
aligatorp         "Alligator Hunt"
aligators         "Alligator Hunt"
aligatorun        "Alligator Hunt"
aligatoruna       "Alligator Hunt"
alinvade          "Alien Invaders"
alleymas          "Alley Master"
allied            "Allied System"
alpha1v           "Alpha One"
alphaho           "Alpha Fighter / Head On"
alphahob          "Missile / Circuit"
alpham2           "Alpha Mission II / ASO II - Last Guardian"
alpham2p          "Alpha Mission II / ASO II - Last Guardian"
alphamis          "Alpha Mission"
alphaone          "Alpha One"
alphaonea         "Alpha One"
alphaxz           "The Alphax Z"
alpilot           "Airline Pilots"
alpilotj          "Airline Pilots"
alpine            "Alpine Ski"
alpinea           "Alpine Ski"
alpinerc          "Alpine Racer"
alpinerd          "Alpine Racer"
alpinerjc         "Alpine Racer"
alpinesa          "Alpine Surfer"
alpinr2a          "Alpine Racer 2"
alpinr2b          "Alpine Racer 2"
alpok_f6          "Alien Poker"
alpok_l2          "Alien Poker"
alpok_l6          "Alien Poker"
altair            "Altair"
altaten           "Alta Tensione"
altbeast          "Altered Beast"
altbeast2         "Altered Beast"
altbeast4         "Altered Beast"
altbeast5         "Altered Beast"
altbeast5d        "Altered Beast"
altbeast6         "Altered Beast"
altbeastbl        "Altered Beast"
altbeastbl2       "Altered Beast"
altbeastj         "Juuouki"
altbeastj1        "Juuouki"
altbeastj3        "Juuouki"
altbeastj3d       "Juuouki"
am_mg24           "Multi Game I"
am_mg24a          "Multi Game I"
am_mg3            "Multi Game III"
am_mg31i          "Multi Game III"
am_mg33i          "Multi Game III"
am_mg34i          "Multi Game III"
am_mg35i          "Multi Game III"
am_mg3a           "Multi Game III"
am_mg4v           "Multi Game IV"
am_mg5hu          "Multi Game V"
amatelas          "Sei Senshi Amatelass"
amazon            "Soldier Girl Amazon"
amazonh           "Amazon Hunt"
amazonh2          "Amazon Hunt II"
amazonh3          "Amazon Hunt III"
amazonh3a         "Amazon Hunt III"
amazonha          "Amazon Hunt"
amazoni2          "Amazonia King II"
amazonia          "Amazonia King"
amazonkp          "Amazonia King Plus"
amazont           "Soldier Girl Amazon"
ambush            "Ambush"
ambushh           "Ambush"
ambushj           "Ambush"
ambushv           "Ambush"
amclink           "Amcoe Link Control Box"
amerdart          "AmeriDarts"
amerdart2         "AmeriDarts"
amerdart3         "AmeriDarts"
america           "America 1492"
americna          "Americana"
americnaa         "Americana"
amerihok          "Ameri-Hockey"
amidar            "Amidar"
amidar1           "Amidar"
amidarb           "Amidar"
amidarc           "Amidar"
amidaro           "Amidar"
amidars           "Amidar"
amidaru           "Amidar"
amigo             "Amigo"
amigo2            "Amigo"
aminosan          "Aminosan"
ampkr228          "American Poker II"
ampkr2b1          "American Poker II"
ampkr2b2          "American Poker II"
ampkr2b3          "American Poker II"
ampkr2b4          "American Poker II"
ampkr2jsp         "American Poker II - Jackpot"
ampkr2jspa        "American Poker II - Jackpot"
ampkr2jspb        "American Poker II - Jackpot"
ampkr95           "American Poker 95"
ampoker2          "American Poker II"
amspdwy           "American Speedway"
amspdwya          "American Speedway"
amusco            "American Music Poker"
amuse             "Amuse"
amuse1            "Amuse"
amuse1a           "Amuse"
amzqueen          "Amazon Queen"
amztempl          "Amazon Temple"
ancienta          "Ancient Atlantis"
ancientaa         "Ancient Atlantis"
ancientab         "Ancient Atlantis"
ancientac         "Ancient Atlantis"
ancientad         "Ancient Atlantis"
andretti          "Mario Andretti"
andretti4         "Mario Andretti"
androdun          "Andro Dunos"
androidp          "Android"
androidpo         "Android"
andromed          "Andromeda SS"
andromep          "Andromeda"
andromepa         "Andromeda"
angelkds          "Angel Kids"
anibonus          "Animal Bonus"
anibonusb1        "Animal Bonus"
